,content,title,authors,last_modified_by,created_date,modified_date,location,category,summary
245,"act,tax,region,improvement,region improvement,improvement tax,tax act,metropolitan,metropolitan region,amendment,amendment act,western,act amendment,act western,applied,mirror,act metropolitan,act applied,applied metropolitan,tax metropolitan,mirror tax,abovemetropolitan,yearassentcommencementmetropolitan,australiametropolitan,dec,rate,commonwealth,taxexceeding,law,australiacommonwealth,australiathis,legislation,corresponding,act abovemetropolitan,abovemetropolitan region,act region,act yearassentcommencementmetropolitan,yearassentcommencementmetropolitan region,western australiametropolitan,australiametropolitan region,act dec,dec metropolitan,amendment metropolitan,tax rate,rate region,tax commonwealth,commonwealth mirror,act act,improvement taxexceeding,taxexceeding law,law amendment,western australiacommonwealth,australiacommonwealth mirror,western australiathis,australiathis act,act legislation,legislation amendment,act corresponding,corresponding metropolitan",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_17548.docx_$file_metropolitan_20region_20improvement_20tax_20act_201959_20-_20_5b04-a0-07_5d.docx_openelement.docx,,svcMRProcess,2019-01-24 03:54:00,2019-01-24 03:54:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_17548.docx_$file_metropolitan_20region_20improvement_20tax_20act_201959_20-_20_5b04-a0-07_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['region improvement tax act amendment act', 'above)metropolitan region improvement tax act amendment act', 'metropolitan region improvement tax act', 'region improvement tax act', 'applied metropolitan region improvement tax act', 'yearassentcommencementmetropolitan region improvement tax act', 'western australiametropolitan region improvement tax act', 'dec 1959metropolitan region improvement tax act amendment', 'metropolitan region improvement tax', 'metropolitan region improvement tax rates', 'region improvement tax', 'commonwealth mirror taxes act', 'act', '1.2.metropolitan region improvement tax', 'metropolitan region improvement taxexceeding', 'laws amendment act', 'western australia;commonwealth mirror taxes act', 'western australia.(3)this act', 'legislation amendment act', 'the corresponding metropolitan region improvement tax act', 'the applied metropolitan region improvement tax act']}}"
246,"gas,transmission,gas transmission,pipeline,transmission pipeline,certain,quality,certain gas,gas gas,gas quality,producer,specification,pipeline gas,gas producer,producer gas,quality specification,periodrelevant,consumer,contract,access,storage,installation,distribution,quantity,aa,appliance,pipeline certain,pipeline periodrelevant,periodrelevant gas,transmission gas,quality gas,specification gas,gas consumer,consumer gas,gas contract,contract gas,gas access,access gas,gas storage,storage certain,gas installation,installation gas,gas distribution,distribution gas,gas quantity,quantity certain,specification aa,aa gas,gas appliance",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_17697.docx_$file_gas_20supply_20(gas_20quality_20specifications)_20act_202009_20-_20_5b00-b0-08_5d.docx_openelement.docx,,svcMRProcess,2019-01-21 06:27:00,2019-01-21 06:27:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_17697.docx_$file_gas_20supply_20(gas_20quality_20specifications)_20act_202009_20-_20_5b00-b0-08_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['gas transmission pipelines', 'other gas transmission pipelines', 'certain gas transmission pipelines', 'period);relevant gas transmission pipeline', 'gas', 'gas producers', 'gas transmission', 'gas quality', 'gas quality specifications', 'gas consumer', 'gas contract', 'gas access', 'gas storage', 'certain gas', 'gas installations', 'gas distribution', 'such gas', 'gas quantity', 'certain gas quality specifications', 'a)a gas producer', 'gas appliances']}}"
247,"act,closure,land,closure act,perth,australiaroad,western,information,authority,survey,plan,city,australiaroad closure,land information,information authority,yearassentcommencementroad,mount,street,portion,lot,road,compilation,tableshort,titlenumber,australian,manner,way,original,act western,western australiaroad,act yearassentcommencementroad,yearassentcommencementroad closure,act mount,mount street,street portion,portion perth,perth lot,lot land,authority act,act road,road closure,act survey,survey plan,plan compilation,compilation tableshort,tableshort titlenumber,titlenumber city,city western,western australian,australian land,authority land,land perth,perth manner,manner act,act way,way city,city perth,perth land,land survey,survey original,original plan",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_1946.docx_$file_road_20closure_20act_201969_20-_20_5b00-a0-12_5d.docx_openelement.docx,,svcMRProcess,2019-01-23 05:09:00,2019-01-23 05:09:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_1946.docx_$file_road_20closure_20act_201969_20-_20_5b00-a0-12_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['australiaroad closure act', 'western australiaroad closure act', 'yearassentcommencementroad closure act', 'mount street', 'portion', 'perth lots l29', 'the land information authority act', 'the road closure act', 'surveys plans', 'compilation tableshort titlenumber', 'city', 'the western australian land information authority', 'land', 'perth', 'such manner', 'an act', 'way', 'city of perth', 'lands', 'surveys 2 original plan', 'l30']}}"
248,"good,seller,good good,mean,contract,good mean,mean good,goodsspecific,rejected,ascertained,specific,stolen,future,unascertained,obtains,fulfilledwhere,auctionwhere,backwhen,rule,unpaid,sale,insolventthe,goodsspecific good,good rejected,rejected good,good ascertained,ascertained good,good specific,specific good,good stolen,stolen good,good future,future good,good unascertained,unascertained good,good obtains,obtains fulfilledwhere,fulfilledwhere good,good auctionwhere,auctionwhere good,good backwhen,backwhen good,good rule,rule good,good contract,contract unpaid,unpaid seller,seller sale,sale seller,seller contract,contract insolventthe,insolventthe seller",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_19856.docx_$file_sale_20of_20goods_20act_201895_20-_20_5b05-d0-06_5d.docx_openelement.docx,,svcMRProcess,2019-05-07 07:19:00,2019-05-07 07:19:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_19856.docx_$file_sale_20of_20goods_20act_201895_20-_20_5b05-d0-06_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['goods;specific goods mean goods', 'such goods', 'goods', 'mean goods', 'rejected goods', 'ascertained goods', 'specific goods', 'stolen goods', 'future goods', 'unascertained goods', 'goods obtains', 'fulfilled.(2)where goods', 'auction:(1)where goods', 'back.(5)when goods', 'rule 4.when goods', 'such contract', 'unpaid seller', 'such sale', 'seller', 'contract', 'insolvent.(2)the seller']}}"
249,"entertainment,act,entertainment act,amendment,specified,public,western,australiasunday,place,good,friday,legislation,western australiasunday,australiasunday entertainment,public entertainment,entertainment public,good friday,legislation amendment,yearassentcommencementsunday,law,interestpublic,person,manmade,object,contentsshort,title,commencementinterpretationpublic,owner,sunday,christmas,day,restrictednotescompilation,repeal,amusement,gazette,act yearassentcommencementsunday,yearassentcommencementsunday entertainment,act law,law amendment,amendment act,act specified,specified public,public interestpublic,interestpublic entertainment,entertainment specified,specified place,place specified,specified person,person place,place manmade,manmade object,object western,act contentsshort,contentsshort title,title commencementinterpretationpublic,commencementinterpretationpublic entertainment,entertainment owner,owner good,friday sunday,sunday entertainment,act christmas,christmas day,day good,friday restrictednotescompilation,restrictednotescompilation legislation,amendment repeal,repeal act,act legislation,amendment amusement,amusement gazette",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_2191.docx_$file_sunday_20entertainments_20act_201979_20-_20_5b01-b0-12_5d.docx_openelement.docx,,svcMRProcess,2019-01-23 06:37:00,2019-01-23 06:37:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_2191.docx_$file_sunday_20entertainments_20act_201979_20-_20_5b01-b0-12_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['western australiasunday entertainments act', 'yearassentcommencementsunday entertainments act', 'law amendment act', 'specified public entertainment', 'public entertainment', 'public interest.3.public entertainments', 'specified places', 'specified persons', 'places', 'other manmade object', '1979western australiasunday entertainments act 1979contents1.short title', 'commencement12.interpretation13.public entertainments', 'such owner', 'good friday', 'the sunday entertainments act', 'christmas day', 'good friday restricted2notescompilation', 'legislation amendment and repeal act', 'legislation amendment', 'amusement', 'gazette']}}"
250,"service,act,levy,service levy,levy act,australiabuilding,western,building,australiabuilding service,building service,act western,western australiabuilding,yearassentcommencementbuilding,australia,compilation,tableshort,titlenumber,complaint,resolution,aug,certain,authorisation,section,levyif,regulation,information,accordance,relation,gazette,act australiabuilding,act yearassentcommencementbuilding,yearassentcommencementbuilding service,service building,act building,service western,western australia,australia compilation,compilation tableshort,tableshort titlenumber,titlenumber complaint,complaint resolution,resolution aug,aug certain,certain authorisation,authorisation building,service act,act section,section levyif,levyif regulation,regulation act,act information,information accordance,accordance relation,relation gazette",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_22162.docx_$file_building_20services_20levy_20act_202011_20-_20_5b00-b0-07_5d.docx_openelement.docx,,svcMRProcess,2019-01-18 06:52:00,2019-01-18 06:52:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_22162.docx_$file_building_20services_20levy_20act_202011_20-_20_5b00-b0-07_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['services levy act', 'australiabuilding services levy act', 'western australiabuilding services levy act', 'yearassentcommencementbuilding services levy act', 'western australiabuilding services', 'the building services levy act', 'building services', 'western australia', 'compilation tableshort titlenumber', 'complaint resolution', 'aug', 'certain authorisations', 'the building services', 'act 2011 section', 'levyif regulations', 'this act', 'information', 'accordance', 'relation', 'gazette', 'p.']}}"
251,"master,plan,proposed,master plan,act,proposed master,authority,amendment,amendment act,plansubmission,planthe,valleywattleup,redevelopment,plan master,master plansubmission,plansubmission master,master planthe,planthe authority,valleywattleup redevelopment,redevelopment act,aa,plancontents,protection,subsectiona,appeal,yearassentcommencementhope,plana,western,australiahope,section,part,planwritten,submission,developmentreview,plan aa,aa master,plan proposed,authority plan,master plancontents,plancontents master,plan amendment,act protection,protection amendment,act subsectiona,subsectiona proposed,plan appeal,appeal amendment,act yearassentcommencementhope,yearassentcommencementhope valleywattleup,act master,master plana,plana master,plan western,western australiahope,australiahope valleywattleup,act proposed,authority section,section part,part authority,authority proposed,master planwritten,planwritten submission,submission proposed,proposed developmentreview",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_22217.docx_$file_hope_20valley-wattleup_20redevelopment_20act_202000_20-_20_5b02-a0-05_5d.docx_openelement.docx,,svcMRProcess,2019-01-22 01:55:00,2019-01-22 01:55:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_22217.docx_$file_hope_20valley-wattleup_20redevelopment_20act_202000_20-_20_5b02-a0-05_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['proposed master plan', 'master plan', 'a)a master plan', 'proposed master plan915.submission', 'master plan(1)the authority', 'plan', 'master plan11.contents', 'master plan712.submission', 'master plans', 'amendment act', 'protection amendment act', 'this subsection.(3)a proposed master plan', 'appeals amendment act', 'yearassentcommencementhope valleywattleup redevelopment act', 'master plan(1)a master plan', 'western australiahope valleywattleup redevelopment act', 'a proposed master plan.(4)the authority', 'section', 'part 3.(3)the authority', 'proposed master plan(1)written submissions', 'proposed development1829.review']}}"
252,"section,retail,market,gas,retail market,scheme,supply,market scheme,gas supply,system,authority,section retail,scheme retail,supply system,retail gas,uthis,schemea,schemesa,zpzdthe,industry,ombudsman,rulesthe,provision,operator,economic,regulation,act,emergency,wlthe,contract,participant,person,aregulations,ca,limitationthis,section uthis,uthis section,market schemea,schemea retail,market schemesa,schemesa retail,scheme section,section zpzdthe,zpzdthe gas,gas industry,industry ombudsman,ombudsman gas,system section,market rulesthe,rulesthe authority,authority gas,supply section,section provision,provision retail,gas operator,operator retail,gas economic,economic regulation,regulation authority,authority act,act gas,system emergency,emergency section,section wlthe,wlthe contract,contract gas,gas market,market participant,participant person,person section,section section,section aregulations,aregulations section,section ca,ca limitationthis,limitationthis section",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_23285.docx_$file_energy_20coordination_20act_201994_20-_20_5b04-h0-10_5d.docx_openelement.docx,,svcMRProcess,2019-01-21 03:34:00,2019-01-21 03:34:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_23285.docx_$file_energy_20coordination_20act_201994_20-_20_5b04-h0-10_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['section 11u.(5)this section', 'retail market scheme(1)a retail market scheme', 'retail market schemes(1)a retail market scheme', 'section 11zpz(1);(d)the gas industry ombudsman', 'gas supply system', 'section', 'retail market rules.(2)the authority', 'gas supply', 'section 33.(2)the provisions', 'retail market scheme', 'retail gas operator', 'retail gas', 's. 2(4))economic regulation authority act', 'gas supply system emergencies[s', 'section 11wl.(3)the contract', 'gas market participants', 'other person', 'section 11r', 'section 49(a).51.regulations', 'section 18c(6).(2)a', 'limitation.(3)this section']}}"
253,"act,charge,crop,charge act,australiagrowers,australiagrowers charge,western,certain,western australiagrowers,crop certain,yearassentcommencementgrowers,actthis,titlethis,interestsharefarmersawhere,person,money,cropswhenever,manner,area,book,share,actnotescompilation,table,personal,property,security,grower,act act,act yearassentcommencementgrowers,yearassentcommencementgrowers charge,act western,act crop,crop actthis,actthis act,act titlethis,titlethis act,act interestsharefarmersawhere,interestsharefarmersawhere crop,crop charge,charge person,person money,money crop,certain crop,certain cropswhenever,cropswhenever crop,crop manner,manner area,area book,book share,share actnotescompilation,actnotescompilation table,table western,act personal,personal property,property security,security act,act grower,grower charge",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_23287.docx_$file_growers_20charge_20act_201940_20-_20_5b01-c0-06_5d.docx_openelement.docx,,svcMRProcess,2019-01-22 01:33:00,2019-01-22 01:33:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_23287.docx_$file_growers_20charge_20act_201940_20-_20_5b01-c0-06_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['australiagrowers charge act', 'act', 'yearassentcommencementgrowers charge act', 'western australiagrowers charge act', 'such crops', 'actthis act', 'titlethis act', 'such interest.5.sharefarmers(a)where crops', 'such charge', 'such persons', 'such moneys', 'crops', 'certain crops', 'certain crops(1)whenever crops', 'such manner', 'such area', 'such books', 'such shares', 'act4notescompilation table5         western australiagrowers charge act', 'the personal property securities act', 'the growers charge act']}}"
254,"section,redevelopment,section section,act,lake,ep,draft,ak,reserve,minister,ep act,act section,draft redevelopment,ak reserve,reserve minister,lake redevelopment,plandraft,plan,athe,perry,land,amendment,yearassentcommencementperry,whichever,kany,imoneys,subject,development,shownthis,section draft,redevelopment plandraft,plandraft redevelopment,redevelopment plan,plan section,section ak,minister section,section athe,athe perry,perry lake,lake land,land draft,redevelopment ak,minister ep,act lake,redevelopment amendment,amendment act,act yearassentcommencementperry,yearassentcommencementperry lake,redevelopment act,section whichever,whichever section,section kany,kany section,section imoneys,imoneys section,section subject,subject section,section development,development shownthis,shownthis section",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_23474.docx_$file_perry_20lakes_20redevelopment_20act_202005_20-_20_5b01-e0-06_5d.docx_openelement.docx,,svcMRProcess,2019-01-22 07:25:00,2019-01-22 07:25:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_23474.docx_$file_perry_20lakes_20redevelopment_20act_202005_20-_20_5b01-e0-06_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['ep act section', 'draft redevelopment plan2126.draft redevelopment plan', 'section 6(6);ak reserve minister', 'section', '--(a)the perry lakes land', 'draft redevelopment', 'ak reserve minister', 'ep act', 'lakes redevelopment amendment act', 'yearassentcommencementperry lakes redevelopment act', 'section 6(4', 'section 4(1', 'section 33(1),whichever', 'section 46;(k)any', 'section 20.(4)if', 'section 25.(4)after', 'section 44;(i)moneys', 'section 6(2', 'section 33(1).(8)subject', 'section 4(2);development', 'shown.(4)this section']}}"
255,"name,business,business name,act,person,name business,name person,abovebusiness,abovebusiness name,name act,registered,information,national,andbthe,athe,registrationa,matterscertain,actcorporationdepartmentdirectorexecutive,officeraafirmindividualinformationbinitialnational,amendment,namecommissioner,nameregister,namesregistration,christian,registered business,name information,information national,national business,name andbthe,andbthe business,name athe,athe business,name registrationa,registrationa business,name matterscertain,matterscertain business,name actcorporationdepartmentdirectorexecutive,actcorporationdepartmentdirectorexecutive officeraafirmindividualinformationbinitialnational,officeraafirmindividualinformationbinitialnational business,business abovebusiness,act amendment,amendment act,act business,business namecommissioner,namecommissioner business,business nameregister,nameregister business,business namesregistration,namesregistration name,person abovebusiness,person christian,christian name,person name",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_23527.docx_$file_business_20names_20act_201962_20-_20_5b04-b0-06_5d.docx_openelement.docx,,svcMRProcess,2019-01-30 03:37:00,2019-01-30 03:37:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_23527.docx_$file_business_20names_20act_201962_20-_20_5b04-b0-06_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['registered business names', 'business names', 'business names information', 'national business names', 'and(b)the business name', '--(a)the business name', 'registration.(6)a business name', 'matters85.certain business names', 'act4(1)corporation4(1)department4(1)director4(1)executive officer4aa(3)firm4(1)individual4(1)information31b(3)initial4(1)national business names', 'business', 'above)business names act amendment act', 'business name3021.commissioner', 'business name116.register', 'business names137.registration', 'names', 'other persons', 'above)business names', 'persons', '4(1);christian name', 'such person', 'names act']}}"
256,"symbol,product,australian,australian product,product symbol,act,western,australiawestern,prescribed,australiawestern australian,symbol act,person,western australiawestern,prescribed symbol,symbol prescribed,western australian,offence,inspector,certificate,reasonable,requirement,proceeding,sellprescribed,symboloffencesappointment,credit,sale,actevery,act western,act offence,offence western,symbol product,product prescribed,symbol western,act inspector,inspector certificate,certificate reasonable,reasonable requirement,requirement proceeding,proceeding product,product sellprescribed,sellprescribed symbol,symbol symbol,prescribed symboloffencesappointment,symboloffencesappointment person,person western,symbol credit,credit sale,sale actevery,actevery person,person act",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_2440.docx_$file_western_20australian_20products_20symbol_20act_201972_20-_20_5b01-a0-10_5d.docx_openelement.docx,,svcMRProcess,2020-02-18 07:23:00,2020-02-18 07:23:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_2440.docx_$file_western_20australian_20products_20symbol_20act_201972_20-_20_5b01-a0-10_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['australiawestern australian products symbol act', 'western australiawestern australian products symbol act', 'offences', 'western australiawestern australian products symbol', 'such product', 'prescribed symbols', 'prescribed symbol', 'the western australian products symbol act', 'inspectors', 'such certificate', 'such reasonable requirements', 'such proceedings', 'products', 'sell.4.prescribed symbol', 'symbols', 'prescribed symbol26.offences27.appointment', 'any other person', 'the western australian products symbol', 'credit sale', 'this act.(2)every person', 'act']}}"
257,"dispute,eea,eea dispute,provision,dispute provision,notice,arbitrator,aa,default,appointmentall,relevant,industrial,authority,aa dispute,default appointmentall,appointmentall eea,relevant industrial,industrial authority,disputeall,onlyall,regulation,provisionspurpose,provisionsthe,model,disputesmodel,provisionslimit,givenhow,referral,madea,partythe,proposed,privatethe,written,designated,disputesettlement,agreementall,provision disputeall,disputeall eea,provision onlyall,onlyall eea,provision aa,dispute notice,notice regulation,regulation default,provision default,provision eea,dispute provisionspurpose,provisionspurpose eea,dispute provisionsthe,provisionsthe model,model eea,provision dispute,dispute disputesmodel,disputesmodel eea,dispute provisionslimit,provisionslimit aa,provision givenhow,givenhow referral,referral madea,madea dispute,dispute partythe,partythe relevant,authority proposed,proposed arbitrator,arbitrator notice,notice privatethe,privatethe relevant,authority written,written notice,notice designated,designated arbitrator,arbitrator arbitrator,arbitrator disputesettlement,disputesettlement agreementall,agreementall eea",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_25101.docx_$file_industrial_20relations_20(employer-employee_20agreements)_20regulations_202002_20-_20_5b00-c0-04_5d.docx_openelement.docx,,svcMRProcess,2019-01-16 08:10:00,2019-01-16 08:10:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_25101.docx_$file_industrial_20relations_20(employer-employee_20agreements)_20regulations_202002_20-_20_5b00-c0-04_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['eea dispute provisions', 'disputeall eea dispute provisions', 'onlyall eea dispute provisions', 'a)a dispute notice', 'regulation 7.13.default appointment(1)all eea dispute provisions', 'default appointmentall eea dispute provisions', 'eea dispute provisions5.purpose', 'eea dispute provisions(1)the model eea dispute provisions', 'dispute', 'disputes33.model eea dispute provisions1534.limit', 'a)a dispute', 'other provisions', 'given.15.how referral made(1)a dispute', 'partythe relevant industrial authority', 'proposed arbitrator', 'notice', 'private.(2)the relevant industrial authority', 'written notice', 'designated arbitrator', 'arbitrator', 'the dispute.8.settlement agreementall eea dispute provisions']}}"
258,"city,station,city station,act,land,complex,development,station complex,station development,australiaforrest,place,project,australiaforrest place,place city,development act,amendment,anddthe,plan,arcade,landthe,liftsthe,complexthe,replacementsthe,rubbishthe,decisionthe,implementationthe,westrail,western,crown,committee,cost,reserved,reserve,complex city,development amendment,amendment act,act anddthe,anddthe city,complex plan,plan city,city arcade,arcade city,city landthe,landthe city,city liftsthe,liftsthe city,city complexthe,complexthe city,city replacementsthe,replacementsthe city,city rubbishthe,rubbishthe city,city decisionthe,decisionthe city,city implementationthe,implementationthe city,city land,land act,act westrail,westrail land,land western,western australiaforrest,act australiaforrest,act crown,crown land,land project,project committee,committee project,project cost,cost reserved,reserved land,land city,complex reserve",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_25503.docx_$file_forrest_20place_20and_20city_20station_20development_20act_201985_20-_20_5b02-a0-06_5d.docx_openelement.docx,,svcMRProcess,2019-01-21 04:56:00,2019-01-21 04:56:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_25503.docx_$file_forrest_20place_20and_20city_20station_20development_20act_201985_20-_20_5b02-a0-06_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['city station complex', 'city station development amendment act', 'and(d)the city station complex plan', 'city arcade', '1)the city', 'land.13.(2)the city', 'lifts.12.(4)the city', 'complex9.(1)the city', 'replacements.10.(3)the city', 'rubbish.13.(4)the city', 'decision.6.(5)the city', 'implementation7.(1)the city', 'land act', 'westrail land', 'western australiaforrest place and city station development act', 'australiaforrest place and city station development act', 'crown land', 'project committee', 'project costs', 'reserved land', 'the city station complex reserve']}}"
259,"authority,supply,supply authority,authority supply,public,act,authority public,public authority,zonesa,orderthe,apparatusa,authoritysupply,usedthe,electricitya,authoritycompensation,arrearssupply,electricity,amendment,person,mean,position,trade,authority zonesa,zonesa supply,supply orderthe,orderthe supply,authority apparatusa,apparatusa supply,supply authoritysupply,authoritysupply authority,authority usedthe,usedthe supply,authority electricitya,electricitya supply,supply authoritycompensation,authoritycompensation arrearssupply,arrearssupply authority,authority authority,authority electricity,electricity act,act amendment,amendment act,act person,person supply,supply mean,mean position,position trade,trade authority",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_25559.docx_$file_electricity_20act_201945_20-_20_5b08-a0-04_5d.docx_openelement.docx,,svcMRProcess,2019-01-21 03:22:00,2019-01-21 03:22:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_25559.docx_$file_electricity_20act_201945_20-_20_5b08-a0-04_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['such supply authority', 'such zones.(2)a supply authority', 'such supply', 'orderthe supply authority', 'apparatusa supply authority', 'supply authority1221.supply authority', 'used.(2)the supply authority', 'electricity.(2)a supply authority', 'such public authority', 'such supply authority.45.compensation', 'such arrears.39.supply authority', 'other authority', 'such electricity', 'act amendment act', 'such person', 'supply', 'such other means', 'such other position', 'such other trades', 'authorities', 'public authority']}}"
260,"act,board,coordination,amendment,amendment act,service,legislation,australiaplumbers,licensing,service coordination,coordination amendment,act coordination,coordination act,legislation amendment,australiaplumbers licensing,licensing act,board board,water,yearassentcommencementwater,repeal,management,amembershipthe,administration,commonwealth,formatting,western,personal,property,security,directionsfminister,directionssubject,instrumentalitythe,etcthe,water service,act act,act yearassentcommencementwater,yearassentcommencementwater service,act legislation,act repeal,repeal act,act management,management act,act australiaplumbers,act amembershipthe,amembershipthe board,board administration,administration legislation,act commonwealth,commonwealth act,act formatting,formatting act,act western,western australiaplumbers,act personal,personal property,property security,security act,act board,board directionsfminister,directionsfminister board,board directionssubject,directionssubject instrumentalitythe,instrumentalitythe board,board etcthe,etcthe board",www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_25662.docx_$file_plumbers_20licensing_20act_201995_20-_20_5b04-a0-03_5d.docx_openelement.docx,,svcMRProcess,2019-01-22 08:32:00,2019-01-22 08:32:00,D:\Classification\StructureMe\StructureMe-master\Data\restricted\www.legislation.wa.gov.au_legislation_prod_filestore.nsf_fileurl_mrdoc_25662.docx_$file_plumbers_20licensing_20act_201995_20-_20_5b04-a0-03_5d.docx_openelement.docx,restricted,"{'text_contents': {'tags': ['s. 2)water services coordination amendment act', 'act', 'coordination amendment act', 'yearassentcommencementwater services coordination act', 'legislation amendment act', 'coordination act', 'repeal act', 'management act', 'australiaplumbers licensing act', 's. 7.]59a.membershipthe board', 'administration legislation amendment act', 'commonwealth act', 'formatting act', 'western australiaplumbers licensing act', 'personal property securities act', 'board', 'board directions459f.minister', 'board directions(1)subject', 'instrumentality.(2)the board', '2003.(2)the board', 'etc.(1)the board']}}"
